7883,OPEN,Cannot start service web: error while creating mount source path,kind/bug,2020-10-23 21:36:40 +0000 UTC
7881,OPEN,run command could converge dependencies,kind/feature,2020-10-21 18:44:10 +0000 UTC
7880,OPEN,EHOSTUNREACH in production when I can ping host and it works on dev machine,kind/bug,2020-10-21 16:39:50 +0000 UTC
7878,OPEN,Forward mount options,,2020-10-21 15:27:29 +0000 UTC
7873,OPEN,The context path of build section is required although building isn't needed,kind/bug,2021-01-12 14:17:40 +0000 UTC
7870,OPEN,docker-compose up with multiple file does not include all container as service,,2020-10-19 15:26:27 +0000 UTC
7867,OPEN,Local volumes fail on up.,kind/bug,2020-10-15 18:19:44 +0000 UTC
7861,OPEN,Environment variable VIRTUAL_ENV not passed to container,kind/bug,2020-10-10 07:49:45 +0000 UTC
7860,OPEN,build context bug: folder name conflicts,kind/bug,2020-10-09 13:19:02 +0000 UTC
7859,OPEN,Add an option to config: entries to name the config by content hash,kind/feature,2020-10-09 11:19:41 +0000 UTC
7858,OPEN,node_module's content is hidden on Ubuntu,kind/bug,2020-10-09 10:47:21 +0000 UTC
7857,OPEN,existence of secret files are checked locally instead of remotely when using remote docker daemon with DOCKER_HOST,kind/bug,2020-10-09 09:00:23 +0000 UTC
7856,OPEN,Between 1.27.0 and 1.27.4 the handling of volume config option "device" has changed,kind/bug,2021-01-08 14:53:05 +0000 UTC
7854,OPEN,Bind mount never find host files or directories in Ubuntu 20.04 LTS,kind/bug,2021-01-08 14:54:34 +0000 UTC
7853,OPEN,Please expose current user and group ID as new variables for use inside docker-compose.yml,kind/feature,2021-01-04 15:02:53 +0000 UTC
7848,OPEN,Inconsistent value of $PWD variable,kind/bug,2020-10-06 08:21:09 +0000 UTC
7847,OPEN,Multiple --env-file?,kind/feature,2020-11-25 12:33:03 +0000 UTC
7849,OPEN,docker.errors.DockerException: Credentials store error: StoreError('Unexpected OS error "Access is denied", errno=13'),,2020-10-05 16:10:28 +0000 UTC
7842,OPEN,stacktrace using buildkit,kind/bug,2020-10-02 15:55:47 +0000 UTC
7841,OPEN,try pull first,kind/feature,2020-09-30 19:36:01 +0000 UTC
7839,OPEN,Breaking Changes: Internal/External Secrets and Name/Label Problems with External Secrets,kind/bug,2020-10-08 16:12:03 +0000 UTC
7838,OPEN,Compose treats file as directory when using a remote docker daemon,kind/bug,2021-01-15 18:29:42 +0000 UTC
7834,OPEN,docker-compose cannot mount secrets,,2020-09-30 13:32:24 +0000 UTC
7832,OPEN,Environment variable validation not handling ambiguous duplicate entries (array style),kind/bug,2020-09-28 13:38:10 +0000 UTC
7831,OPEN,Cannot set empty file attribute on external secret in 1.27.x,kind/bug,2020-09-25 17:29:37 +0000 UTC
7794,OPEN,Support nested parameter expansion,kind/feature,2020-09-25 02:30:52 +0000 UTC
7793,OPEN,Apparent errors in docker-compose JSON Schema,kind/bug,2020-09-24 15:23:59 +0000 UTC
7791,OPEN,Mounting is failing with wsl2,kind/question,2021-01-14 19:39:18 +0000 UTC
7789,OPEN,ANSI support for when no-tty option is used (-t),kind/feature,2020-09-23 11:09:18 +0000 UTC
7788,OPEN,logs of docker-compose up not real time,kind/bug,2020-09-28 03:31:08 +0000 UTC
7785,OPEN,s390x support for docker-compose,kind/feature,2020-09-22 12:45:35 +0000 UTC
7780,OPEN,JSON Schema draft 2019-09 requires `$id` to be an absolute URI,,2020-09-20 20:07:55 +0000 UTC
7777,OPEN,`docker-compose` unexpectly ran docker-credential-glcoud,kind/question,2020-11-10 06:07:00 +0000 UTC
7776,OPEN,Add command line option to disable connection to stdin,kind/bug,2020-09-23 09:35:28 +0000 UTC
7775,OPEN,Multiple docker-compose file with different context path,kind/bug,2020-09-18 12:31:57 +0000 UTC
7774,OPEN,cpus value type in output of config command is not consistent in version 1.27.3,kind/bug,2020-09-18 10:35:19 +0000 UTC
7771,OPEN,`config` output strips quote marks and loses version number,kind/bug,2021-01-22 08:49:35 +0000 UTC
7770,OPEN,'deploy: replicas:' behaving differently after update to 2.3.0.5,,2020-12-14 08:57:06 +0000 UTC
7763,OPEN,Passed through environment variables have newlines stripped,kind/bug,2020-10-06 10:59:19 +0000 UTC
7760,OPEN,docker-compose on raspberry blocks vnc,kind/bug,2020-09-14 08:14:34 +0000 UTC
7759,OPEN,`docker-compose stop` doesn't stop things,kind/bug,2020-09-16 14:01:19 +0000 UTC
7757,OPEN,Remove detached containers with `run --rm -d`,kind/feature,2020-10-08 12:20:45 +0000 UTC
7750,OPEN,compose up via SSH fails with ERROR: Secsh channel 21 open FAILED: open failed: Connect failed,kind/bug,2021-02-07 02:31:39 +0000 UTC
7743,OPEN,Adding the service name to build --parallel,kind/feature,2020-09-10 05:29:51 +0000 UTC
7723,OPEN,docker-compose up -d --force-recreate should also create brand new containers,kind/feature,2020-09-02 20:42:12 +0000 UTC
7719,OPEN,Docker-compose created container cannot access Internet,kind/question,2020-09-10 15:25:50 +0000 UTC
7709,OPEN,Reopen Issue 6336,kind/bug,2021-01-26 16:46:41 +0000 UTC
7707,OPEN,Windows-build stuck on OpenSSL 1.1.1c (28.May 2019),kind/bug,2020-08-26 09:04:11 +0000 UTC
7702,OPEN,Error when using a remote ssh context running under Ubuntu,kind/bug, stale,2021-02-21 22:55:09 +0000 UTC
7701,OPEN,Suppress or hide Docker “Steps” and other default outputs in the console,kind/feature,2020-08-23 04:21:49 +0000 UTC
7697,OPEN,Docker-compose + Qnap storage,kind/question, stale,2021-02-18 04:11:36 +0000 UTC
7693,OPEN,Fix path resolution between multiple projects in docker-compose,stale,2021-02-18 04:11:37 +0000 UTC
7691,OPEN,`docker-compose --compatibility config` should not force output to version 2.3,kind/bug, stale,2021-02-18 04:11:38 +0000 UTC
7690,OPEN,Docker Compose vs Kaspersky,kind/bug,2020-08-26 15:23:35 +0000 UTC
7688,OPEN,docker-compose -f docker-compose.yml.dev -H ssh://user@ip uses wrong file / gets cached,kind/bug,2020-11-04 12:38:59 +0000 UTC
7687,OPEN,Not able to install docker-compose on redhat 7 of ppc64le arch type.,kind/bug,2020-09-01 17:29:24 +0000 UTC
7686,OPEN,OpenSSL version mismatch. Built against 1010106f, you have 101000cf,kind/bug,2021-02-21 23:22:51 +0000 UTC
7685,OPEN,docker-compose exec fails with No such container when using contexts,kind/bug,2020-11-23 20:32:24 +0000 UTC
7675,OPEN,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate when using docker compose with DOCKER_HOST,kind/bug,2021-02-17 20:33:03 +0000 UTC
7674,OPEN,`docker-compose up --no-build` should not require the existence of the build context directories,kind/feature,2021-01-22 21:23:56 +0000 UTC
